iter	Logloss
0	0.6835530802
1	0.6754771049
2	0.6682364494
3	0.6621985085
4	0.6569747065
5	0.6522973401
6	0.6481713262
7	0.644493837
8	0.6416038684
9	0.6388081771
10	0.6365298871
11	0.6347191227
12	0.6329571377
13	0.6315057968
14	0.6301329201
15	0.6290324533
16	0.6281550656
17	0.6272451426
18	0.6265642823
19	0.6258107846
20	0.6252983872
21	0.6247756819
22	0.624248515
23	0.6237746393
24	0.6233740903
25	0.6229915857
26	0.6227331579
27	0.622457829
28	0.6222229688
29	0.6219917561
30	0.6217554521
31	0.62156988
32	0.6214077391
33	0.6212498854
34	0.6211174957
35	0.6209785376
36	0.6208749744
37	0.6207183905
38	0.6206436228
39	0.6205476876
40	0.6204431652
41	0.6203695247
42	0.6203215481
43	0.6202381889
44	0.6201813419
45	0.6201052932
46	0.6200173977
47	0.6199168423
48	0.6198227515
49	0.6197614345
50	0.619719031
51	0.6196687163
52	0.6196075617
53	0.6195462895
54	0.6195131168
55	0.6194434622
56	0.6194086836
57	0.6193637885
58	0.6193449474
59	0.6193091219
60	0.6193074791
61	0.6192788167
62	0.619261112
63	0.6192263002
64	0.6191961795
65	0.6191830755
66	0.6191266091
67	0.6190958457
68	0.6190426955
69	0.6190303407
70	0.6190049417
71	0.6189820298
72	0.6189665994
73	0.6189467651
74	0.6189185879
75	0.6189013164
76	0.6188654561
77	0.6188421948
78	0.6188194401
79	0.6187931176
80	0.6187579847
81	0.6187418466
82	0.6187173059
83	0.6186748946
84	0.6186396192
85	0.6186141243
86	0.6186005528
87	0.618582053
88	0.6185612816
89	0.6185464811
90	0.6185465684
91	0.6185147599
92	0.6184536681
93	0.6184275268
94	0.6184095009
95	0.6183784778
96	0.6183298362
97	0.6182552086
98	0.6182394846
99	0.6182199484
100	0.6181836177
101	0.6181573941
102	0.6181471285
103	0.618135967
104	0.618109701
105	0.6180547774
106	0.6180202474
107	0.6180047875
108	0.6179819813
109	0.6179580813
110	0.6179508481
111	0.6179059322
112	0.6178876702
113	0.6178868945
114	0.6178665578
115	0.6178558532
116	0.6178528794
117	0.61781811
118	0.6178095158
119	0.6177811412
120	0.6177548657
121	0.6177528519
122	0.6177362166
123	0.6177043469
124	0.6176806036
125	0.617662902
126	0.6176061507
127	0.6175747431
128	0.6175592367
129	0.6175389302
130	0.6175316983
131	0.6175035037
132	0.6174723718
133	0.6174639286
134	0.6174448017
135	0.6173940503
136	0.6173864316
137	0.6173864757
138	0.6173783071
139	0.6173549696
140	0.6172804785
141	0.6172558414
142	0.6172283266
143	0.617213597
144	0.617186038
145	0.6171688914
146	0.617151455
147	0.6171215225
148	0.6171022282
149	0.6170798431
150	0.6170731688
151	0.6170576142
152	0.6170375945
153	0.6170118916
154	0.616977851
155	0.6169503032
156	0.616921773
157	0.6169084368
158	0.6168787425
159	0.6168476659
160	0.6168125998
161	0.6167728925
162	0.616744721
163	0.6167140883
164	0.6166914957
165	0.6166632879
166	0.61664263
167	0.6166211924
168	0.6165995278
169	0.6165564377
170	0.6165203388
171	0.6164781222
172	0.6164386508
173	0.6163958584
174	0.6163744861
175	0.616346496
176	0.616290307
177	0.6162677618
178	0.6162281004
179	0.6161998656
180	0.6161755689
181	0.6161464404
182	0.6161082087
183	0.6160830211
184	0.6160605025
185	0.6160440335
186	0.6160011772
187	0.6159735073
188	0.6159473839
189	0.6159079816
